"file_name","image_name_short","Name","Note","ID","x center [micron]","y center [micron]","z center [micron]","Volume [voxel]","Volume [micron^3]","N surface voxels","Surface [micron^2]","Shape complexity index","Sphere radius [micron]","Maximum span [micron]","A Coloc volume [micron^3]","A Coloc volume [% tot vol]","B Coloc volume [micron^3]","B Coloc volume [% tot vol]","A Coloc comp BG [micron^3]","A Coloc comp BG [% tot vol]","B Coloc comp BG [micron^3]","B Coloc comp BG [% tot vol]","minimum intensity (rec.C)","maximum intensity (rec.C)","average intensity 10% (rec.C)","average intensity (rec.C)","SD of intensity (rec.C)","minimum A intensity","maximum A intensity","average A intensity of hi 10%","average A intensity","SD of A intensity","minimum B intensity","maximum B intensity","average B intensity of hi 10%","average B intensity","SD of B intensity","N of found skeletons","N branches","tree length [micron]","cilia length [micron]","orientation vector x [micron]","orientation vector y [micron]","orientation vector z [micron]","cilia bending index","Intensity threshold A","Intensity threshold B","Intensity threshold Basal Stain","Integrated A intensity","Average A intensity on center","Integrated B intensity","Average B intensity on center","A Coloc center vs BG [micron]","A Coloc center vs BG [% tot l]","B Coloc center vs BG [micron]","B Coloc center vs BG [% tot l]","to_be_removed"
"ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1_CQP.tif",NA,"1","48.500000","48.773585","9.000000","318","318.000000","246","368.000000","1.633349","4.234279","-1.000000","0.000000","0.000000","318.000000","100.000000","0.000000","0.000000","318.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","942.000000","53392.000000","51013.125000","18469.339623","17137.547066","1","3","16.680544","14.347210","-9.000000","0.000000","0.000000","1.594134","0.000000","0.000000",NA,"0.000000","0.000000","571406.528830","38093.768589","0.000000","0.000000","15.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_10_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_10_0_gblur_1_CQP.tif",NA,"1","48.609890","48.766484","9.142857","364","364.000000","250","410.000000","1.663025","4.429325","-1.000000","0.000000","0.000000","364.000000","100.000000","0.000000","0.000000","364.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53392.000000","49988.277778","16120.821429","16152.799409","1","3","17.550666","15.079261","9.000000","0.000000","-2.000000","1.635575","0.000000","0.000000",NA,"0.000000","0.000000","611506.657894","38219.166118","0.000000","0.000000","16.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_15_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_15_0_gblur_1_CQP.tif",NA,"1","48.472067","48.670391","8.843575","358","358.000000","245","412.000000","1.689758","4.404854","-1.000000","0.000000","0.000000","358.000000","100.000000","0.000000","0.000000","358.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53392.000000","49420.833333","16024.092179","16000.987055","1","3","17.769617","16.102950","8.666667","-0.333333","-1.333333","1.835101","0.000000","0.000000",NA,"0.000000","0.000000","670643.907099","39449.641594","0.000000","0.000000","17.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_20_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_20_0_gblur_1_CQP.tif",NA,"1","48.452128","48.654255","8.521277","376","376.000000","242","436.000000","1.730655","4.477474","-1.000000","0.000000","0.000000","376.000000","100.000000","0.000000","0.000000","376.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53392.000000","47116.815789","14727.614362","15153.250986","1","5","17.590984","16.363597","9.000000","0.000000","-2.000000","1.774881","0.000000","0.000000",NA,"0.000000","0.000000","633781.734477","37281.278499","0.000000","0.000000","17.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_25_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_25_0_gblur_1_CQP.tif",NA,"1","48.500000","48.670000","9.000000","400","400.000000","244","460.000000","1.752133","4.570781","-1.000000","0.000000","0.000000","400.000000","100.000000","0.000000","0.000000","400.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53250.000000","46846.500000","14329.275000","15018.744053","1","5","19.550423","17.607613","9.000000","0.000000","-3.000000","1.856005","0.000000","0.000000",NA,"0.000000","0.000000","707658.710186","37245.195273","0.000000","0.000000","19.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_30_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_30_0_gblur_1_CQP.tif",NA,"1","48.223325","48.588089","8.803970","403","403.000000","238","458.000000","1.735847","4.582180","-1.000000","0.000000","0.000000","403.000000","100.000000","0.000000","0.000000","403.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","54629.000000","46427.575000","14223.228288","14878.075298","1","7","17.812445","16.479112","8.333333","0.666667","-4.000000","1.829003","0.000000","0.000000",NA,"0.000000","0.000000","658234.017462","36568.556526","0.000000","0.000000","18.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_35_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_35_0_gblur_1_CQP.tif",NA,"1","48.163507","48.625592","8.357820","422","422.000000","240","484.000000","1.778906","4.653088","-1.000000","0.000000","0.000000","422.000000","100.000000","0.000000","0.000000","422.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","687.000000","56233.000000","45540.309524","13420.331754","14391.061872","1","7","18.495741","17.406425","6.333333","0.666667","-6.000000","2.145455","0.000000","0.000000",NA,"0.000000","0.000000","733365.450366","36668.272518","0.000000","0.000000","20.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_40_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_40_0_gblur_1_CQP.tif",NA,"1","49.069507","48.697309","8.975336","446","446.000000","244","494.000000","1.749926","4.739677","-1.000000","0.000000","0.000000","446.000000","100.000000","0.000000","0.000000","446.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","670.000000","53773.000000","43280.711111","12692.695067","13704.882289","1","5","18.364730","17.031396","7.000000","0.000000","-6.000000","1.847314","0.000000","0.000000",NA,"0.000000","0.000000","608887.511839","33827.083991","0.000000","0.000000","18.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_45_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_45_0_gblur_1_CQP.tif",NA,"1","48.973558","48.442308","8.490385","416","416.000000","227","478.000000","1.773706","4.630930","-1.000000","0.000000","0.000000","416.000000","100.000000","0.000000","0.000000","416.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","942.000000","55284.000000","43230.619048","13140.528846","13792.863052","1","10","22.113653","16.854140","7.000000","0.000000","-6.000000","2.058314","0.000000","0.000000",NA,"0.000000","0.000000","657885.910219","32894.295511","0.000000","0.000000","20.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_5_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_5_0_gblur_1_CQP.tif",NA,"1","48.564706","48.691176","8.570588","340","340.000000","247","390.000000","1.655495","4.329756","-1.000000","0.000000","0.000000","340.000000","100.000000","0.000000","0.000000","340.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","942.000000","53392.000000","50097.176471","17264.794118","16526.894065","1","3","17.192267","15.525600","9.000000","0.000000","-1.000000","1.714516","0.000000","0.000000",NA,"0.000000","0.000000","669233.845958","39366.696821","0.000000","0.000000","17.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_50_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_50_0_gblur_1_CQP.tif",NA,"1","48.655093","48.504630","9.136574","432","432.000000","236","482.000000","1.744110","4.689556","-1.000000","0.000000","0.000000","432.000000","100.000000","0.000000","0.000000","432.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","54427.000000","42590.697674","12649.356481","13507.070277","1","5","19.967146","17.341041","6.000000","0.000000","-7.000000","1.880900","0.000000","0.000000",NA,"0.000000","0.000000","559176.280426","31065.348913","0.000000","0.000000","18.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_55_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_55_0_gblur_1_CQP.tif",NA,"1","48.421875","48.441964","8.944196","448","448.000000","242","498.000000","1.758841","4.746751","-1.000000","0.000000","0.000000","448.000000","100.000000","0.000000","0.000000","448.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","942.000000","55093.000000","43898.355556","13363.727679","14053.693996","1","13","21.098157","18.204103","6.000000","0.000000","-7.000000","2.025643","0.000000","0.000000",NA,"0.000000","0.000000","691928.677474","34596.433874","0.000000","0.000000","20.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_60_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_60_0_gblur_1_CQP.tif",NA,"1","49.111354","48.515284","8.565502","458","458.000000","247","500.000000","1.740105","4.781810","-1.000000","0.000000","0.000000","458.000000","100.000000","0.000000","0.000000","458.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53571.000000","42473.934783","12353.877729","13371.242447","1","7","19.235095","17.812445","3.000000","0.000000","-8.000000","2.084789","0.000000","0.000000",NA,"0.000000","0.000000","594545.755797","31291.881884","0.000000","0.000000","19.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_65_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_65_0_gblur_1_CQP.tif",NA,"1","48.852248","48.501071","8.406852","467","467.000000","252","500.000000","1.717676","4.812929","-1.000000","0.000000","0.000000","467.000000","100.000000","0.000000","0.000000","467.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","53571.000000","42586.829787","12675.308351","13510.431875","1","8","20.100346","18.396683","4.000000","0.000000","-8.000000","1.874238","0.000000","0.000000",NA,"0.000000","0.000000","543958.389825","30219.910546","0.000000","0.000000","18.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_70_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_70_0_gblur_1_CQP.tif",NA,"1","48.458422","48.383795","8.313433","469","469.000000","255","498.000000","1.705938","4.819790","-1.000000","0.000000","0.000000","469.000000","100.000000","0.000000","0.000000","469.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","54236.000000","42999.361702","12760.601279","13611.533832","1","5","15.503044","13.072201","2.000000","-3.000000","-7.000000","1.660171","0.000000","0.000000",NA,"0.000000","0.000000","463369.912763","33097.850912","0.000000","0.000000","14.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_75_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_75_0_gblur_1_CQP.tif",NA,"1","49.102083","48.481250","8.993750","480","480.000000","255","506.000000","1.706759","4.857180","-1.000000","0.000000","0.000000","480.000000","100.000000","0.000000","0.000000","480.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","926.000000","51111.000000","41051.208333","11918.377083","12908.308662","1","5","19.991078","16.698306","1.000000","0.000000","-9.000000","1.892530","0.000000","0.000000",NA,"0.000000","0.000000","583508.995633","32417.166424","0.000000","0.000000","18.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_80_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_80_0_gblur_1_CQP.tif",NA,"1","48.753950","48.406321","8.476298","443","443.000000","250","470.000000","1.672417","4.729026","-1.000000","0.000000","0.000000","443.000000","100.000000","0.000000","0.000000","443.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1133.000000","51111.000000","42454.068182","12772.395034","13502.381080","1","5","9.958062","8.958062","0.333333","0.333333","-6.000000","1.488424","0.000000","0.000000",NA,"0.000000","0.000000","351430.457209","35143.045721","0.000000","0.000000","10.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_85_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_85_0_gblur_1_CQP.tif",NA,"1","48.400000","48.400000","8.500000","450","450.000000","252","462.000000","1.626857","4.753804","-1.000000","0.000000","0.000000","450.000000","100.000000","0.000000","0.000000","450.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1150.000000","51111.000000","42646.444444","13009.311111","13711.248009","1","7","14.628376","7.698145","0.666667","0.000000","-6.000000","1.376202","0.000000","0.000000",NA,"0.000000","0.000000","373435.718760","41492.857640","0.000000","0.000000","9.000000","100.000000","yes_or_no"
"ArtificialCilium_l_10w_3h_3_rotated_0_90_0_gblur_1_CQP_CQs",NA,"ArtificialCilium_l_10w_3h_3_rotated_0_90_0_gblur_1_CQP.tif",NA,"1","49.000000","48.400000","8.500000","450","450.000000","250","454.000000","1.598687","4.753804","-1.000000","0.000000","0.000000","450.000000","100.000000","0.000000","0.000000","450.000000","100.000000","65535.000000","65535.000000","65535.000000","65535.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1150.000000","51111.000000","42646.444444","13009.311111","13711.248009","1","4","12.178147","7.942566","-0.333333","0.000000","-6.000000","1.354216","0.000000","0.000000",NA,"0.000000","0.000000","383988.413788","42665.379310","0.000000","0.000000","9.000000","100.000000","yes_or_no"
