"fileName","cilium","vertical_length","horizontal_length","total_length","to_be_removed"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",1,4.50238550106774,1.616255507752,4.78369700823158,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",2,3.65818821961754,1.98674655739899,4.16287195737334,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",3,3.65818821961754,3.13371711103601,4.81689983102705,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",4,3.93958731343428,3.23593955122579,5.09820095517621,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",5,4.50238550106774,1.09823521291513,4.63439270920277,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",6,3.37678912580081,2.05017079365579,3.95043099968672,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",7,4.50238550106774,3.56482093000302,5.74277140962555,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",8,3.37678912580081,3.87387019038777,5.13902471798896,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",9,4.78378459488448,1.80041086656539,5.11136716923181,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",10,4.22098640725101,2.88645879910314,5.11354775563089,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",11,3.93958731343428,3.36972211344228,5.18414653747309,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",12,3.37678912580081,2.94775465430379,4.48240586092962,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",13,3.93958731343428,1.10708591475323,4.09218614224931,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",14,3.37678912580081,1.97685731737838,3.9128850805255,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",15,3.93958731343428,3.42057256213714,5.21734270036172,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",16,3.65818821961754,2.68402994659719,4.53721917085555,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",17,4.22098640725101,2.0117652931484,4.67588770661938,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",18,3.93958731343428,3.39764297251537,5.20233850963731,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",1,8.16057372068529,2.18349181645426,8.4476387211612,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",2,8.16057372068529,3.34688394723991,8.82023784299673,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",3,8.16057372068529,2.64992522226571,8.58003887720442,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",4,7.87917462686855,1.97682424220073,8.12337533819789,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",5,7.87917462686855,1.33555770913063,7.99156475260681,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",6,7.87917462686855,1.83468077903545,8.08995960197895,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",7,8.16057372068529,1.92398650384638,8.38431198833407,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",8,7.31637643923509,2.01539813334656,7.58888620526695,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",9,8.16057372068529,2.98829110589091,8.69050327566166,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",10,8.16057372068529,1.98662306596859,8.39890675367799,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",11,7.03497734541835,2.72711691479398,7.54506944418041,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",12,7.87917462686855,2.07627074593887,8.14814659975695,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",13,8.16057372068529,2.85564402063602,8.64578893007073,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",14,8.16057372068529,2.72073420541846,8.60217170645142,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",15,8.16057372068529,1.32273863098659,8.26707934742637,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",16,8.16057372068529,2.95313961987827,8.6784789603498,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",17,7.87917462686855,2.88324515532796,8.39014275363723,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",18,7.59777553305182,1.72629318531138,7.79142356776304,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",1,3.65818821961754,1.3390812563081,3.89557180156447,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",2,4.78378459488448,1.9732811304602,5.17478825364713,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",3,5.34658278251795,2.73912469567454,6.00739140965291,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",4,4.50238550106774,1.77188139475993,4.83849551796025,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",5,5.90938097015141,3.8794374183383,7.06900404110728,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",6,3.93958731343428,2.74110278842471,4.79937419846401,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",7,3.93958731343428,2.8897335961609,4.88578637037614,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",8,5.34658278251795,2.73464530602077,6.00535031451611,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",9,4.22098640725101,1.7347838240036,4.56357328923535,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",10,5.06518368870121,1.53838009075698,5.29364705131748,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",11,2.81399093816734,1.37425439753291,3.13163218613337,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",12,3.93958731343428,2.89126428850054,4.88669186527357,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",13,5.34658278251795,4.11277974706413,6.74543584197331,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",14,5.06518368870121,2.56361323653865,5.67698851741317,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",15,4.50238550106774,2.41638762812713,5.10983408435058,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",1,3.93958731343428,2.3099506748985,4.56686110152655,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",2,3.65818821961754,4.06525268488987,5.46887743894054,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",3,3.65818821961754,1.82416025674535,4.08777466262976,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",4,3.65818821961754,2.62327462354267,4.50154537916386,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",5,4.78378459488448,1.98203312025009,5.17813193536263,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",6,5.90938097015141,1.31962915080475,6.05493224950051,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",7,4.22098640725101,2.65195649524748,4.98493726167974,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",8,5.06518368870121,2.33027001269059,5.57550393528063,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",9,3.65818821961754,2.70603151452147,4.55026895993324,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",10,4.50238550106774,2.93341337030779,5.37367557648632,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",11,3.93958731343428,4.64536667375739,6.09095885175956,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",12,3.37678912580081,1.54597079020273,3.71385655138787,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",13,3.65818821961754,3.31246524031136,4.93505491544112,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",14,2.81399093816734,2.28018479743992,3.62184865925732,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",15,3.65818821961754,3.30615193763684,4.93081957537369,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",16,3.37678912580081,2.7155523810003,4.33323545795552,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",17,5.62798187633468,3.73717357397031,6.7557861365154,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",18,4.50238550106774,2.75099593077416,5.27631062498798,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",19,3.37678912580081,1.83633487586674,3.84380418029471,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",20,3.93958731343428,1.79474808209425,4.32914181776866,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",21,3.93958731343428,2.2870257223739,4.55530842588865,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",22,4.78378459488448,2.96503300672082,5.62814496803325,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",23,4.50238550106774,1.32666140764034,4.69377307618799,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",24,4.22098640725101,3.50597305418183,5.48712796523344,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",25,5.34658278251795,2.0361427775354,5.72117338146878,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",26,4.50238550106774,1.75717946547417,4.83313095975157,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",27,3.65818821961754,1.53756920138333,3.96818095595339,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",28,3.93958731343428,2.68916322782468,4.76990011070009,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",1,6.75357825160162,2.87747333095741,7.3410266292173,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",2,4.22098640725101,2.99265789745303,5.17423690425804,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",3,4.22098640725101,3.17270228337102,5.2804134335396,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",4,5.06518368870121,3.73444273878421,6.29302378587138,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",5,6.19078006396815,2.5644806364118,6.70091924551823,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",6,5.62798187633468,3.37919666964637,6.56453731290338,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",7,5.34658278251795,4.5924934542734,7.04818725473872,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",8,4.78378459488448,3.54305233352437,5.95296689797168,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",9,4.78378459488448,2.44898007643642,5.37420677542617,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",10,3.93958731343428,3.08887812966853,5.00614785040523,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",11,5.34658278251795,2.17544371233482,5.77221818678526,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",12,5.90938097015141,2.32869527601192,6.35166160456521,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",13,4.22098640725101,2.58447399714148,4.9493668374953,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",14,4.78378459488448,2.00277128655511,5.18610527048031,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",15,6.19078006396815,2.6765436340931,6.74460107238595,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",16,4.22098640725101,2.95270146022902,5.15123016020799,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",17,5.06518368870121,2.62809819187404,5.70639868099105,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",18,4.50238550106774,3.74790811402066,5.85818149525661,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",19,5.34658278251795,2.1468518433158,5.76150330100277,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",20,4.50238550106774,1.97723854960889,4.91741268171429,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",21,4.50238550106774,1.59421534670056,4.77629540249351,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",22,4.50238550106774,1.32663333087338,4.69376514056778,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",23,4.22098640725101,1.10095510219853,4.36220453294602,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",24,4.78378459488448,2.87289869917382,5.58015608974952,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",25,4.50238550106774,1.54518639523177,4.76015506010407,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",1,3.93958731343428,1.45508202901622,4.19971569410814,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",2,4.50238550106774,3.61550882455992,5.77437262918628,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",3,5.06518368870121,1.3573689653195,5.24390468146565,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",4,5.06518368870121,3.46587613882856,6.13745738966765,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",5,5.06518368870121,3.59713121524963,6.21252273879204,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",6,5.62798187633468,2.28612852170045,6.07458341107305,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",7,4.78378459488448,3.0450870569746,5.67072748726372,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",8,4.50238550106774,3.0783829848047,5.4541651058031,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",9,4.78378459488448,3.75198810755335,6.07963895387513,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",10,3.93958731343428,2.17423404990235,4.49973798169705,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",11,4.22098640725101,2.74523185253784,5.03517866360134,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",12,5.62798187633468,1.99173490174432,5.97002411378531,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",13,5.62798187633468,2.51377142274929,6.16386459667818,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",14,4.78378459488448,1.637089764877,5.05615050690929,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",15,4.22098640725101,1.9680832690567,4.65726078335095,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",16,5.06518368870121,2.9062292065789,5.83971352049542,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",17,3.65818821961754,1.41854260372561,3.92359582127583,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",18,4.78378459488448,2.09302323045142,5.22162247711029,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",19,5.34658278251795,2.51131337434949,5.90699943410391,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",20,3.93958731343428,1.53752929808118,4.22898859570824,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",21,5.06518368870121,4.55426182060157,6.81156270842998,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",22,6.19078006396815,3.34275798045558,7.03560862444216,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",23,5.34658278251795,1.3627713368803,5.51752600056763,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",1,4.50238550106774,2.08747623893641,4.96276457716353,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",2,4.78378459488448,3.12563682962516,5.71438541235742,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",3,5.90938097015141,3.14382579767726,6.69361069203526,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",4,3.65818821961754,3.45986480395739,5.0351768103823,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",5,3.93958731343428,2.65098447103501,4.74848047967358,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",6,6.19078006396815,2.63719535636209,6.72908293514378,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",7,3.37678912580081,1.79628161241628,3.82483103303027,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",8,3.09539003198407,2.06548965864647,3.72124804065543,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",9,4.50238550106774,2.86728372809324,5.33786391523925,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",10,3.93958731343428,3.52816481891356,5.28850595060567,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",11,4.22098640725101,2.89235817926089,5.11688011265997,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",12,4.22098640725101,3.1606754686838,5.27319596341131,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",13,3.37678912580081,1.79919755916133,3.8262013351389,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",14,3.65818821961754,1.51679536387369,3.96017792858064,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",15,3.93958731343428,2.81734353369274,4.84332249463244,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",16,2.81399093816734,3.0819619839784,4.17337209828886,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",17,3.93958731343428,2.98295331606342,4.94149356834409,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",18,5.06518368870121,2.95338655016747,5.86332481745596,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",19,4.22098640725101,1.6677238877869,4.53850517418377,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",20,5.06518368870121,3.83660073031574,6.35417901574579,"yes_or_no"
