fileName,researcher,Cilium_number,horizontal_length_in_pixels,z_lower,z_upper,horizontal_scaling_in_um,vertical_scaling_in_um,horizontal_length_in_um,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,1,13.071,1,6,0.138377636827306,0.281,1.8087340909697167,6,1.6860000000000002,2.472673656558028
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,2,16.221,2,7,0.138377636827306,0.281,2.2446236469757306,6,1.6860000000000002,2.8072996485168145
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,3,14.258,2,7,0.138377636827306,0.281,1.9729883458837287,6,1.6860000000000002,2.5952416097529363
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,4,10.784,2,8,0.138377636827306,0.281,1.492264435545668,7,1.967,2.4689961817699175
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,5,11.629,3,7,0.138377636827306,0.281,1.6091935386647414,5,1.4050000000000002,2.1362417571240275
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,6,9.666,4,11,0.138377636827306,0.281,1.33755823757274,8,2.248,2.6158298948705925
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,7,7.634,2,8,0.138377636827306,0.281,1.0563748795396541,7,1.967,2.232715137701722
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,8,10.605,3,8,0.138377636827306,0.281,1.4674948385535802,6,1.6860000000000002,2.2352040401675635
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,9,11.292,3,8,0.138377636827306,0.281,1.5625602750539394,6,1.6860000000000002,2.2987367429039463
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,kai,10,17.468,3,9,0.138377636827306,0.281,2.417180560099381,7,1.967,3.116384260665292
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,1,7.921,2,4,0.219647042583026,0.429804210436651,1.739824224300149,3,1.289412631309953,2.1655422566284113
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,2,7.213,2,4,0.219647042583026,0.429804210436651,1.5843141181513665,3,1.289412631309953,2.0427031499352517
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,3,6.653,3,5,0.219647042583026,0.429804210436651,1.4613117743048718,3,1.289412631309953,1.9488501829293368
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,4,11.41,3,5,0.219647042583026,0.429804210436651,2.506172755872327,3,1.289412631309953,2.8184192051677392
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,5,8.278,3,5,0.219647042583026,0.429804210436651,1.8182382185022894,3,1.289412631309953,2.2290300924402153
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,6,9.57,3,5,0.219647042583026,0.429804210436651,2.1020221975195588,3,1.289412631309953,2.4659850471255114
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,7,7.751,2,5,0.219647042583026,0.429804210436651,1.7024842270610345,4,1.719216841746604,2.4195369582498167
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,8,4.813,3,4,0.219647042583026,0.429804210436651,1.057161215952104,2,0.859608420873302,1.3625404484820343
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,9,6.794,3,6,0.219647042583026,0.429804210436651,1.4922820073090786,4,1.719216841746604,2.276535116857102
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,10,9.487,4,7,0.219647042583026,0.429804210436651,2.0837914929851675,4,1.719216841746604,2.7014613702924795
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,11,4.685,3,5,0.219647042583026,0.429804210436651,1.0290463945014767,3,1.289412631309953,1.6497034326866589
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,12,7.981,3,5,0.219647042583026,0.429804210436651,1.7530030468551305,3,1.289412631309953,2.176144438235897
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,13,9.387,3,5,0.219647042583026,0.429804210436651,2.061826788726865,3,1.289412631309953,2.4318130356779886
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,14,7.193,3,6,0.219647042583026,0.429804210436651,1.579921177299706,4,1.719216841746604,2.334921299621308
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,15,9.605,3,6,0.219647042583026,0.429804210436651,2.1097098440099646,4,1.719216841746604,2.721503660636472
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,kai,16,6.918,3,5,0.219647042583026,0.429804210436651,1.519518240589374,3,1.289412631309953,1.992867435948885
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,1,14.862,1,1,0.109823521291513,0.429804210436651,1.6321971734344662,1,0.429804210436651,1.6878386392888787
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,2,11.567,1,1,0.109823521291513,0.429804210436651,1.270328670778931,1,0.429804210436651,1.3410691969887456
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,3,24.807,1,2,0.109823521291513,0.429804210436651,2.724392092678563,2,0.859608420873302,2.8567882161416467
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,4,17.351,1,1,0.109823521291513,0.429804210436651,1.905547917929042,1,0.429804210436651,1.953418676790201
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,5,14.428,1,2,0.109823521291513,0.429804210436651,1.5845337651939497,2,0.859608420873302,1.802685188899051
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,6,13.017,1,2,0.109823521291513,0.429804210436651,1.4295727766516246,2,0.859608420873302,1.668114193027482
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,7,20.07,1,1,0.109823521291513,0.429804210436651,2.204158072320666,1,0.429804210436651,2.245672386410232
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,8,10.62,1,1,0.109823521291513,0.429804210436651,1.166325796115868,1,0.429804210436651,1.2429994054682352
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,9,13.375,1,2,0.109823521291513,0.429804210436651,1.4688895972739864,2,0.859608420873302,1.7019292835532345
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,10,12.901,1,2,0.109823521291513,0.429804210436651,1.4168332481818091,2,0.859608420873302,1.6572094286449457
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,11,10.132,1,1,0.109823521291513,0.429804210436651,1.1127319177256096,1,0.429804210436651,1.1928553894057679
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,12,12.816,1,2,0.109823521291513,0.429804210436651,1.4074982488720307,2,0.859608420873302,1.6492355677143653
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,13,15.665,1,1,0.109823521291513,0.429804210436651,1.720385461031551,1,0.429804210436651,1.7732619078516898
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,14,10.37,1,1,0.109823521291513,0.429804210436651,1.1388699157929898,1,0.429804210436651,1.2172741451322313
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,15,13.494,1,2,0.109823521291513,0.429804210436651,1.4819585963076765,2,0.859608420873302,1.7132215030189502
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,16,19.741,1,2,0.109823521291513,0.429804210436651,2.1680261338157583,2,0.859608420873302,2.3322229640719163
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,17,12.44,1,1,0.109823521291513,0.429804210436651,1.3662046048664216,1,0.429804210436651,1.432217400280868
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,1,10.02,6,12,0.219647042583026,0.281,2.2008633666819204,7,1.967,2.951760247513757
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,2,7.907,6,12,0.219647042583026,0.281,1.7367491657039866,7,1.967,2.624002032120687
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,3,5.219,5,11,0.219647042583026,0.281,1.1463379152408129,7,1.967,2.2766597497032035
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,4,8.062,7,12,0.219647042583026,0.281,1.7707944573043555,6,1.6860000000000002,2.4450580790688443
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,5,8.96,8,15,0.219647042583026,0.281,1.968037501543913,8,2.248,2.987754274950202
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,6,11.336,5,12,0.219647042583026,0.281,2.489918874721183,8,2.248,3.354578960569091
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,7,5.204,6,13,0.219647042583026,0.281,1.1430432096020673,8,2.248,2.5219143084207674
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,8,11.102,7,14,0.219647042583026,0.281,2.4385214667567547,8,2.248,3.3166083494789547
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,9,6.895,7,13,0.219647042583026,0.281,1.5144663586099643,7,1.967,2.4824780666425483
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,10,4.568,7,13,0.219647042583026,0.281,1.0033476905192626,7,1.967,2.208120374452067
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,11,4.807,8,13,0.219647042583026,0.281,1.055843333696606,6,1.6860000000000002,1.9893217802335454
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,1,19.847,6,14,0.109823521291513,0.281,2.179667427072659,9,2.5290000000000004,3.3386810408665197
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,2,14.95,6,14,0.109823521291513,0.281,1.6418616433081192,9,2.5290000000000004,3.015219835396159
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,3,12.105,4,13,0.109823521291513,0.281,1.329413725233765,10,2.8100000000000005,3.1086075424279467
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,4,16.034,8,14,0.109823521291513,0.281,1.7609103403881194,7,1.967,2.640055724200874
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,5,17.843,8,16,0.109823521291513,0.281,1.9595810904044664,9,2.5290000000000004,3.199343534206785
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,6,22.362,5,14,0.109823521291513,0.281,2.4558735831208134,10,2.8100000000000005,3.731945210780923
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,7,10.693,6,14,0.109823521291513,0.281,1.1743429131701484,9,2.5290000000000004,2.788354761810798
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,8,19.23,6,15,0.109823521291513,0.281,2.111906314435795,10,2.8100000000000005,3.5151455561546503
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,9,11.377,7,14,0.109823521291513,0.281,1.2494622017335435,8,2.248,2.571898091597106
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,10,10.561,7,14,0.109823521291513,0.281,1.1598462083596688,8,2.248,2.5295745150215088
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_4096x4096.czi,kai,1,35.876,4,11,0.0549117606457566,0.281,1.9700143249271636,8,2.248,2.9890567810629207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_4096x4096.czi,kai,2,26.345,4,12,0.0549117606457566,0.281,1.4466503342124575,9,2.5290000000000004,2.9135267614142517
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_4096x4096.czi,kai,3,21.468,3,11,0.0549117606457566,0.281,1.1788456775431027,9,2.5290000000000004,2.7902541338491123
